store_location,day_of_week,hour,txns,nd,avg_txns_hr,staff_needed
Astoria,Friday,7,590,26,22.692307692307693,1.0
Astoria,Friday,8,760,26,29.23076923076923,2.0
Astoria,Friday,9,769,26,29.576923076923077,2.0
Astoria,Friday,10,757,26,29.115384615384617,2.0
Astoria,Friday,11,471,26,18.115384615384617,1.0
Astoria,Friday,12,435,26,16.73076923076923,1.0
Astoria,Friday,13,452,26,17.384615384615383,1.0
Astoria,Friday,14,437,26,16.807692307692307,1.0
Astoria,Friday,15,469,26,18.03846153846154,1.0
Astoria,Friday,16,455,26,17.5,1.0
Astoria,Friday,17,497,26,19.115384615384617,1.0
Astoria,Friday,18,439,26,16.884615384615383,1.0
Astoria,Friday,19,501,26,19.26923076923077,1.0
Astoria,Monday,7,610,26,23.46153846153846,1.0
Astoria,Monday,8,729,26,28.03846153846154,2.0
Astoria,Monday,9,766,26,29.46153846153846,2.0
Astoria,Monday,10,810,26,31.153846153846153,2.0
Astoria,Monday,11,478,26,18.384615384615383,1.0
Astoria,Monday,12,479,26,18.423076923076923,1.0
Astoria,Monday,13,484,26,18.615384615384617,1.0
Astoria,Monday,14,470,26,18.076923076923077,1.0
Astoria,Monday,15,486,26,18.692307692307693,1.0
Astoria,Monday,16,519,26,19.96153846153846,1.0
Astoria,Monday,17,464,26,17.846153846153847,1.0
Astoria,Monday,18,518,26,19.923076923076923,1.0
Astoria,Monday,19,539,26,20.73076923076923,1.0
Astoria,Saturday,7,588,26,22.615384615384617,1.0
Astoria,Saturday,8,750,26,28.846153846153847,2.0
Astoria,Saturday,9,797,26,30.653846153846153,2.0
Astoria,Saturday,10,763,26,29.346153846153847,2.0
Astoria,Saturday,11,526,26,20.23076923076923,1.0
Astoria,Saturday,12,470,26,18.076923076923077,1.0
Astoria,Saturday,13,530,26,20.384615384615383,1.0
Astoria,Saturday,14,471,26,18.115384615384617,1.0
Astoria,Saturday,15,486,26,18.692307692307693,1.0
Astoria,Saturday,16,500,26,19.23076923076923,1.0
Astoria,Saturday,17,494,26,19.0,1.0
Astoria,Saturday,18,516,26,19.846153846153847,1.0
Astoria,Saturday,19,479,26,18.423076923076923,1.0
Astoria,Sunday,7,642,26,24.692307692307693,1.0
Astoria,Sunday,8,669,26,25.73076923076923,2.0
Astoria,Sunday,9,676,26,26.0,2.0
Astoria,Sunday,10,699,26,26.884615384615383,2.0
Astoria,Sunday,11,487,26,18.73076923076923,1.0
Astoria,Sunday,12,544,26,20.923076923076923,1.0
Astoria,Sunday,13,525,26,20.192307692307693,1.0
Astoria,Sunday,14,496,26,19.076923076923077,1.0
Astoria,Sunday,15,512,26,19.692307692307693,1.0
Astoria,Sunday,16,585,26,22.5,1.0
Astoria,Sunday,17,489,26,18.807692307692307,1.0
Astoria,Sunday,18,534,26,20.53846153846154,1.0
Astoria,Sunday,19,569,26,21.884615384615383,1.0
Astoria,Thursday,7,643,26,24.73076923076923,1.0
Astoria,Thursday,8,687,26,26.423076923076923,2.0
Astoria,Thursday,9,700,26,26.923076923076923,2.0
Astoria,Thursday,10,771,26,29.653846153846153,2.0
Astoria,Thursday,11,522,26,20.076923076923077,1.0
Astoria,Thursday,12,501,26,19.26923076923077,1.0
Astoria,Thursday,13,513,26,19.73076923076923,1.0
Astoria,Thursday,14,518,26,19.923076923076923,1.0
Astoria,Thursday,15,510,26,19.615384615384617,1.0
Astoria,Thursday,16,521,26,20.03846153846154,1.0
Astoria,Thursday,17,494,26,19.0,1.0
Astoria,Thursday,18,522,26,20.076923076923077,1.0
Astoria,Thursday,19,501,26,19.26923076923077,1.0
Astoria,Tuesday,7,575,25,23.0,1.0
Astoria,Tuesday,8,652,25,26.08,2.0
Astoria,Tuesday,9,644,25,25.76,2.0
Astoria,Tuesday,10,708,25,28.32,2.0
Astoria,Tuesday,11,502,25,20.08,1.0
Astoria,Tuesday,12,518,25,20.72,1.0
Astoria,Tuesday,13,441,25,17.64,1.0
Astoria,Tuesday,14,464,25,18.56,1.0
Astoria,Tuesday,15,503,25,20.12,1.0
Astoria,Tuesday,16,500,25,20.0,1.0
Astoria,Tuesday,17,461,25,18.44,1.0
Astoria,Tuesday,18,464,25,18.56,1.0
Astoria,Tuesday,19,510,25,20.4,1.0
Astoria,Wednesday,7,533,26,20.5,1.0
Astoria,Wednesday,8,719,26,27.653846153846153,2.0
Astoria,Wednesday,9,731,26,28.115384615384617,2.0
Astoria,Wednesday,10,783,26,30.115384615384617,2.0
Astoria,Wednesday,11,427,26,16.423076923076923,1.0
Astoria,Wednesday,12,491,26,18.884615384615383,1.0
Astoria,Wednesday,13,511,26,19.653846153846153,1.0
Astoria,Wednesday,14,463,26,17.807692307692307,1.0
Astoria,Wednesday,15,457,26,17.576923076923077,1.0
Astoria,Wednesday,16,519,26,19.96153846153846,1.0
Astoria,Wednesday,17,503,26,19.346153846153847,1.0
Astoria,Wednesday,18,470,26,18.076923076923077,1.0
Astoria,Wednesday,19,466,26,17.923076923076923,1.0
Hell's Kitchen,Friday,6,191,26,7.346153846153846,1.0
Hell's Kitchen,Friday,7,389,26,14.961538461538462,1.0
Hell's Kitchen,Friday,8,1177,26,45.26923076923077,2.0
Hell's Kitchen,Friday,9,1075,26,41.34615384615385,2.0
Hell's Kitchen,Friday,10,1117,26,42.96153846153846,2.0
Hell's Kitchen,Friday,11,469,26,18.03846153846154,1.0
Hell's Kitchen,Friday,12,324,26,12.461538461538462,1.0
Hell's Kitchen,Friday,13,355,26,13.653846153846153,1.0
Hell's Kitchen,Friday,14,378,26,14.538461538461538,1.0
Hell's Kitchen,Friday,15,366,26,14.076923076923077,1.0
Hell's Kitchen,Friday,16,392,26,15.076923076923077,1.0
Hell's Kitchen,Friday,17,404,26,15.538461538461538,1.0
Hell's Kitchen,Friday,18,346,26,13.307692307692308,1.0
Hell's Kitchen,Friday,19,354,26,13.615384615384615,1.0
