store_location,hour,mean_txns,p90_txns,staff_mean_demand,staff_p90_demand
Astoria,7,44.2,64.6,2.0,3.0
Astoria,8,47.4,67.8,2.0,3.0
Astoria,9,49.0,77.7,2.0,4.0
Astoria,10,52.7,87.9,3.0,4.0
Astoria,11,27.9,44.1,2.0,2.0
Astoria,12,27.6,50.0,2.0,2.0
Astoria,13,27.7,41.5,2.0,2.0
Astoria,14,26.5,44.3,2.0,2.0
Astoria,15,26.9,49.4,2.0,2.0
Astoria,16,28.0,44.0,2.0,2.0
Astoria,17,26.4,40.1,2.0,2.0
Astoria,18,28.4,49.0,2.0,2.0
Astoria,19,28.4,43.4,2.0,2.0
Hell's Kitchen,6,25.9,34.5,2.0,2.0
Hell's Kitchen,7,52.0,68.0,3.0,3.0
Hell's Kitchen,8,53.9,92.2,3.0,4.0
Hell's Kitchen,9,54.3,97.3,3.0,4.0
Hell's Kitchen,10,53.5,94.5,3.0,4.0
Hell's Kitchen,11,28.7,40.7,2.0,2.0
Hell's Kitchen,12,19.5,25.2,1.0,2.0
Hell's Kitchen,13,21.5,36.2,1.0,2.0
Hell's Kitchen,14,22.2,34.1,1.0,2.0
Hell's Kitchen,15,19.3,27.2,1.0,2.0
Hell's Kitchen,16,21.1,33.0,1.0,2.0
Hell's Kitchen,17,21.5,32.2,1.0,2.0
Hell's Kitchen,18,20.9,32.2,1.0,2.0
Hell's Kitchen,19,19.7,28.1,1.0,2.0
Hell's Kitchen,20,19.9,25.4,1.0,2.0
Lower Manhattan,6,44.9,57.6,2.0,3.0
Lower Manhattan,7,45.7,62.2,2.0,3.0
Lower Manhattan,8,46.0,61.6,2.0,3.0
Lower Manhattan,9,45.4,62.1,2.0,3.0
Lower Manhattan,10,51.8,77.0,3.0,4.0
Lower Manhattan,11,21.5,31.1,1.0,2.0
Lower Manhattan,12,22.0,34.1,1.0,2.0
Lower Manhattan,13,21.4,30.4,1.0,2.0
Lower Manhattan,14,23.7,31.0,1.0,2.0
Lower Manhattan,15,25.3,37.2,2.0,2.0
Lower Manhattan,16,22.3,30.6,1.0,2.0
Lower Manhattan,17,19.3,31.2,1.0,2.0
Lower Manhattan,18,12.2,16.2,1.0,1.0
Lower Manhattan,19,10.0,14.8,1.0,1.0
Lower Manhattan,20,6.0,9.4,1.0,1.0
